Date,Expiry,Strike,Type,Symbol,Open,High,Low,Close,Volume,OI,Change in OI,Underlying Value
26-Feb-2026,30-Mar-2026,1300.0,CE,360ONE,3,3.45,2.6,2.6,14500,17000,8000,1128.3
26-Feb-2026,30-Mar-2026,1220.0,CE,360ONE,12.75,12.75,10.2,11.3,12000,25000,-2500,1128.3
26-Feb-2026,30-Mar-2026,1360.0,CE,360ONE,0,0,0,4.05,0,2000,0,1128.3
26-Feb-2026,30-Mar-2026,1260.0,CE,360ONE,5.8,6,4.8,5.6,11000,18000,-2000,1128.3
26-Feb-2026,30-Mar-2026,1240.0,CE,360ONE,10.05,10.05,6.7,8.05,15000,9000,5000,1128.3
26-Feb-2026,30-Mar-2026,1200.0,CE,360ONE,16.35,18.85,13,15.1,104500,70500,500,1128.3
26-Feb-2026,30-Mar-2026,1280.0,CE,360ONE,4,4,3.65,3.65,5500,15000,2000,1128.3
26-Feb-2026,30-Mar-2026,1060.0,PE,360ONE,12,13.55,12,12.35,7500,10500,6000,1128.3
26-Feb-2026,30-Mar-2026,980.0,PE,360ONE,0,0,0,6.25,0,10500,0,1128.3
26-Feb-2026,30-Mar-2026,1000.0,PE,360ONE,4.5,5.5,4.5,5.3,7500,68500,4000,1128.3
26-Feb-2026,30-Mar-2026,960.0,PE,360ONE,0,0,0,15.9,0,0,0,1128.3
26-Feb-2026,30-Mar-2026,1020.0,PE,360ONE,0,0,0,6.85,0,2500,0,1128.3
26-Feb-2026,30-Mar-2026,920.0,PE,360ONE,0,0,0,2.5,0,500,0,1128.3
26-Feb-2026,30-Mar-2026,1040.0,PE,360ONE,0,0,0,8.95,0,2500,0,1128.3
26-Feb-2026,30-Mar-2026,6850.0,CE,ABB,35.6,38.3,24.4,26,13250,12625,-3000,6133.0
26-Feb-2026,30-Mar-2026,6600.0,CE,ABB,71.2,79,51.7,58.6,41500,53250,-1250,6133.0
26-Feb-2026,30-Mar-2026,6750.0,CE,ABB,49.8,49.8,33.5,33.5,2375,5000,1500,6133.0
26-Feb-2026,30-Mar-2026,6550.0,CE,ABB,82,89,60.55,67.1,8125,7750,1500,6133.0
26-Feb-2026,30-Mar-2026,6800.0,CE,ABB,40,44,28.7,30.5,103375,53875,-9500,6133.0
26-Feb-2026,30-Mar-2026,6500.0,CE,ABB,89.7,104,69.9,77.9,201875,132875,-33875,6133.0
26-Feb-2026,30-Mar-2026,6700.0,CE,ABB,56.7,59.25,38.4,41.75,49625,39375,0,6133.0
26-Feb-2026,30-Mar-2026,6650.0,CE,ABB,0,0,0,105,0,125,0,6133.0
26-Feb-2026,30-Mar-2026,7000.0,CE,ABB,0,0,0,16.4,0,0,0,6133.0
26-Feb-2026,30-Mar-2026,6900.0,CE,ABB,26.65,33.45,21.05,23.05,40000,16375,4625,6133.0
26-Feb-2026,30-Mar-2026,6450.0,CE,ABB,105,113.75,79.6,89.4,16250,9500,2375,6133.0
26-Feb-2026,30-Mar-2026,4900.0,PE,ABB,5.85,5.85,3.65,5.15,4250,4500,-125,6133.0
26-Feb-2026,30-Mar-2026,4000.0,PE,ABB,0,0,0,2.5,0,4875,0,6133.0
26-Feb-2026,30-Mar-2026,4700.0,PE,ABB,0,0,0,3.5,0,4375,0,6133.0
26-Feb-2026,30-Mar-2026,5500.0,PE,ABB,26.25,29,24.05,25.75,38625,80000,-5375,6133.0
26-Feb-2026,30-Mar-2026,5800.0,PE,ABB,64.55,72.45,58.95,65.05,53875,81875,1000,6133.0
26-Feb-2026,30-Mar-2026,5000.0,PE,ABB,7,7.85,6.55,6.55,10250,28750,1625,6133.0
26-Feb-2026,30-Mar-2026,4850.0,PE,ABB,0,0,0,21.8,0,125,0,6133.0
26-Feb-2026,30-Mar-2026,5550.0,PE,ABB,33.1,33.15,29,32.8,4875,3250,1250,6133.0
26-Feb-2026,30-Mar-2026,5250.0,PE,ABB,12.25,12.25,12.25,12.25,125,3750,0,6133.0
26-Feb-2026,30-Mar-2026,4450.0,PE,ABB,0,0,0,25,0,125,0,6133.0
26-Feb-2026,30-Mar-2026,5700.0,PE,ABB,49.3,52.75,42.9,46.4,20250,61750,2125,6133.0
26-Feb-2026,30-Mar-2026,5650.0,PE,ABB,39,44.85,39,39.7,4875,10875,0,6133.0
26-Feb-2026,30-Mar-2026,4950.0,PE,ABB,0.5,6.2,0.5,6.05,1750,2750,125,6133.0
26-Feb-2026,30-Mar-2026,4500.0,PE,ABB,2.95,3.2,2.8,3.2,750,3375,-125,6133.0
26-Feb-2026,30-Mar-2026,5300.0,PE,ABB,13.95,16.2,13.9,14.1,9500,27500,-2625,6133.0
26-Feb-2026,30-Mar-2026,5750.0,PE,ABB,56,61.55,53.75,55.5,6000,6875,-875,6133.0
26-Feb-2026,30-Mar-2026,5150.0,PE,ABB,11.25,11.25,9.5,10.5,375,3250,-125,6133.0
26-Feb-2026,30-Mar-2026,5200.0,PE,ABB,9.6,12.15,9.6,11.05,3500,14000,-1125,6133.0
26-Feb-2026,30-Mar-2026,5450.0,PE,ABB,22,23.85,21.8,22.8,500,3250,375,6133.0
26-Feb-2026,30-Mar-2026,5350.0,PE,ABB,0,0,0,11.05,0,5750,0,6133.0
26-Feb-2026,30-Mar-2026,5050.0,PE,ABB,6.2,7.75,6.2,7.75,1000,500,-250,6133.0
26-Feb-2026,30-Mar-2026,5400.0,PE,ABB,20,21,18.55,18.55,9000,17625,-2500,6133.0
26-Feb-2026,30-Mar-2026,5100.0,PE,ABB,8,8.9,5.3,8.1,8750,7750,2750,6133.0
26-Feb-2026,30-Mar-2026,5600.0,PE,ABB,34.15,38.6,32.1,34.55,31500,41625,1250,6133.0
